SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
25,98980,,Y,9.45,9.82,10.63,9.58
26,98980,,N,192.45,197.01,208.07,159.96
26,98980,,Y,31.5,31.71,30.45,22.88
28,98980,,N,1.65,1.64,1.68,1.21
29,98980,,N,3606,3606.56,3625.5,3823.67
29,98980,,Y,33,33.12,33.04,31.74
30,98980,,N,96.15,94.41,95.63,140.03
31,98980,,N,37.35,36.27,33.91,28.24
33,98980,,N,177,170.98,156.73,197.5
33,98980,,Y,0.15,0.15,0.14,0.14
34,98980,,N,696.75,720.83,774.67,701.94
34,98980,,Y,0.75,0.78,0.84,0.76
37,98980,,N,2.7,2.7,2.66,3.3
37,98980,,Y,1.65,1.58,1.41,1.49
38,98980,,N,1510.5,1540.43,1620.57,1489.65
38,98980,,Y,148.35,150.69,155.94,174.09
39,98980,,N,4095.9,4132.4,4201.29,4352.21
39,98980,,Y,40.35,42.24,46.71,40.6
42,98980,,N,0.3,0.3,0.31,0.23
42,98980,,Y,0.6,0.62,0.66,0.57
44,98980,,N,26.55,26.27,25.87,28.73
44,98980,,Y,2.55,2.61,2.76,2.9
46,98980,,N,2333.4,2338.06,2350.65,2975.66
46,98980,,Y,4.35,4.33,4.32,3.3
48,98980,,N,846.45,855,878.38,669.94
48,98980,,Y,0.75,0.73,0.68,0.4
50,98980,,N,8005.71,7990.74,8044.92,8280.91
50,98980,,Y,223.35,226.34,236.07,229.14
65,98980,,N,5.25,5.27,6.02,3.24
66,98980,,N,109.05,112.91,124.08,100.05
66,98980,,Y,1.5,1.48,1.43,1.17
70,98980,,N,0.15,0.15,0.14,0.11
71,98980,,N,1.05,1.02,0.94,0.54
72,98980,,N,1414.05,1428.58,1463.59,1483.41
72,98980,,Y,0.75,0.73,0.69,0.53
76,98980,,N,4.2,4.34,4.78,2.89
77,98980,,N,7.8,7.92,7.83,5.53
78,98980,,N,48.6,48.4,48.12,77.35
81,98980,,N,244.2,246.71,253.05,287.05
81,98980,,Y,1.2,1.2,1.19,1.27
82,98980,,N,0.15,0.15,0.15,0.05
83,98980,,N,26.85,27.32,28.41,28.77
83,98980,,Y,0.15,0.16,0.18,0.35
84,98980,,N,643.65,692.88,865.97,316.72
84,98980,,Y,0.6,0.61,0.61,0.43
89,98980,,N,44.4,44.4,44.79,38.88
89,98980,,Y,14.1,13.59,12.79,7.03
90,98980,,N,2.4,2.51,2.84,1.74
92,98980,,N,3.9,3.98,3.95,4.46
93,98980,,N,832.35,825.5,809.54,653.41
93,98980,,Y,16.35,15.94,15.34,13.09
94,98980,,N,5.55,5.5,5.41,4.96
94,98980,,Y,7.35,7.25,6.86,6.66
97,98980,,N,1172.1,1176.84,1203.86,1140.65
97,98980,,Y,34.95,35.09,35.8,24.94
98,98980,,N,7.65,8.08,9.29,9.42
99,98980,,N,24.75,24.43,24.45,20.56
C0,98980,,N,638.85,630.13,615.03,577.61
C0,98980,,Y,60.75,59.25,57.35,28.87
C3,98980,,N,3176.4,3140.15,3092.17,3379.86
C3,98980,,Y,14.25,13.96,13.49,11.73
C6,98980,,N,299.4,306.76,330.73,429.5
C6,98980,,Y,12.9,12.47,11.77,6.94
C7,98980,,N,361.5,363.18,369.55,374.8
C7,98980,,Y,17.55,17,16.01,8.32
D4,98980,,N,2.85,2.79,2.85,5.17
01,98980,25,N,0.45,0.45,0.44,0.6
02,98980,25,N,42.3,42.64,39.72,25.17
05,98980,25,N,95.4,94.71,93.15,52.51
05,98980,25,Y,0.3,0.29,0.28,0.22
06,98980,25,N,76.05,78.82,87.8,59.16
06,98980,25,Y,0.15,0.15,0.15,0.07
08,98980,25,N,608.4,607.44,602.36,549.9
08,98980,25,Y,0.6,0.62,0.66,0.59
09,98980,25,N,29.1,28.49,29.07,52.82
10,98980,25,N,167.7,159.99,143.05,82.51
10,98980,25,Y,0.15,0.14,0.13,0.07
11,98980,25,N,494.7,500.22,496.34,348.12
16,98980,25,N,0.15,0.15,0.13,0.08
17,98980,25,N,1.35,1.31,1.27,1.96
20,98980,25,N,0.45,0.45,0.45,0.22
21,98980,25,N,0.15,0.16,0.18,0.28
25,98980,25,N,0.3,0.31,0.33,0.39
26,98980,25,N,3.3,3.38,3.7,2.58
29,98980,25,N,17.7,18.18,20.86,12.53
34,98980,25,N,9.6,9.35,8.43,7.18
38,98980,25,N,86.7,86.88,88.71,67.17
39,98980,25,N,12.45,12.08,11.38,10.02
46,98980,25,N,0.45,0.47,0.51,0.46
46,98980,25,Y,0.15,0.16,0.21,0.07
48,98980,25,N,1.2,1.25,1.37,0.82
50,98980,25,N,466.5,458.81,446.96,536.84
50,98980,25,Y,9.9,9.71,9.38,7.18
81,98980,25,N,10.2,10.77,12.36,12.55
81,98980,25,Y,2.25,2.38,2.73,2.77
84,98980,25,N,0.15,0.16,0.21,0.07
93,98980,25,N,49.35,49.5,50.68,38.15
97,98980,25,N,3.45,3.55,3.86,4.13
C0,98980,25,N,16.2,16.01,15.39,12.3
C3,98980,25,N,2.1,2.08,2.1,2.22
20,98980,50,N,0.45,0.43,0.38,0.22
01,98981,,N,2223.9,2245.65,2281.54,1855.94
01,98981,,Y,4.5,4.66,5.16,3.13
02,98981,,N,35.7,35.48,34.37,25.67
02,98981,,Y,0.3,0.29,0.27,0.35
03,98981,,N,138.6,147.08,176.25,100.67
03,98981,,Y,0.9,0.89,0.88,0.66
04,98981,,N,10.5,10.18,9.24,10.13
05,98981,,N,1123.5,1104.62,1095.15,1424.38
05,98981,,Y,54.3,53.27,50.67,40.64
06,98981,,N,21991.5,22201.55,23082.16,25999.12
06,98981,,Y,561.6,578.69,635.2,372.91
08,98981,,N,24669.3,24606.42,24694.61,24027.58
08,98981,,Y,379.2,373.71,359.29,302.4
09,98981,,N,707.1,705.44,702.14,697.75
10,98981,,N,771.6,756.77,742.39,1102.18
10,98981,,Y,0.9,0.92,0.97,0.86
11,98981,,N,39994.2,40356.9,41201.5,42356.79
11,98981,,Y,582.9,590.6,624.63,474.7
12,98981,,N,366.9,360.57,344.07,458.44
13,98981,,N,342.6,353.75,382.3,544.69
14,98981,,N,6.9,6.63,6.11,5.51
14,98981,,Y,0.6,0.58,0.53,0.48
16,98981,,N,146.1,145.16,142.09,114.92
17,98981,,N,7.2,7.26,7.58,8.95
18,98981,,N,31.8,31.26,29,33.8
20,98981,,N,801,807.24,820.22,730.06
20,98981,,Y,0.6,0.63,0.71,0.43
21,98981,,N,1531.5,1604.12,1801.47,2361.97
21,98981,,Y,39,38.84,39.17,19.7
22,98981,,N,21.3,22.17,24.79,15.51
23,98981,,N,158.4,163.84,181.69,116.17
25,98981,,N,281.4,288.41,309.46,328.89
25,98981,,Y,2.7,2.79,3.02,2.92
26,98981,,N,7.2,7.25,7.43,6.78
26,98981,,Y,9.6,9.62,9.1,7.3
28,98981,,N,5.4,5.37,5.51,4.45
29,98981,,N,2425.8,2415.42,2431.79,2657.01
29,98981,,Y,12.3,12.35,12.31,8.38
30,98981,,N,99.6,99.1,99.8,47.71
31,98981,,N,96,93.22,87.17,72.58
33,98981,,N,620.7,598.51,544.28,709.2
34,98981,,N,167.7,174.22,188.47,170.51
34,98981,,Y,0.3,0.31,0.34,0.3
37,98981,,N,1.2,1.17,1.05,0.9
37,98981,,Y,3.3,3.15,2.82,2.97
38,98981,,N,542.7,549.51,570.4,540.56
